v1,v2,r,q,n
2.955,1.549,7.534,3.617,3.0
2.196,1.155,6.483,2.316,2.0
3.8,1.983,8.564,5.28,4.0
2.125,1.549,4.822,1.889,2.0
2.996,1.479,7.825,3.733,3.0
3.8,1.983,8.564,5.28,4.0
4.512,2.783,8.354,6.498,5.0
4.492,2.383,9.227,6.763,5.0
6.313,4.447,8.679,9.956,7.0
3.8,1.983,8.564,5.28,4.0
