v1,v2,r,q,n
2.455,1.517,6.153,3.474,3.0
1.552,0.968,4.856,1.74,2.0
2.966,1.398,7.956,4.937,4.0
2.555,1.617,6.153,3.649,3.0
2.655,1.717,6.153,3.824,3.0
3.066,1.498,7.957,5.163,4.0
3.684,2.146,7.879,6.531,5.0
3.784,2.241,7.893,6.761,5.0
5.644,4.419,7.031,10.059,7.0
3.166,1.598,7.956,5.389,4.0
2.755,1.817,6.153,3.999,3.0
5.744,4.519,7.031,10.259,7.0
3.881,2.347,7.871,6.969,5.0
